GMT-M1,GMT-M1,JH-V1 SK38,JH-V1 SK38,JH-V2,JH-V2,Niky,Niky,L-V1,L-V1,
,,,,,,,,,,
0,24.19,0,24.25,0,23.5,0,23.56,,,
1,24.87,1,24.81,1,23.62,1,24,,,
2,22.37,2,21.62,2,21.75,2,21.69,,,
3,21.62,3,21.25,3,21.31,3,21,,,
4,22.56,4,23.12,4,21.94,4,22,,,
5,15.63,5,15.56,5,15.81,5,15.19,,,
6,17.56,6,18.62,6,19.62,6,18,,,
7,22.81,7,23,7,22.5,7,22.69,,,
8,23,8,23.19,8,22.69,8,22.87,,,
9,23,9,23.06,9,22.75,9,22.87,,,
10,23,10,23.06,10,22.69,10,22.87,,,
11,22.94,11,23.12,11,22.56,11,22.81,,,
12,22.81,12,23.06,12,22.5,12,22.69,,,
13,22.69,13,23,13,22.37,13,22.56,,,
14,22.62,14,22.94,14,22.31,14,22.5,,,
15,22.5,15,22.81,15,22.25,15,22.37,,,
16,22.87,16,22.94,16,22.62,16,22.75,,,
17,22.94,17,22.94,17,22.62,17,22.81,,,
18,23.25,18,23.06,18,23,18,23.12,,,
19,19.69,19,19.75,19,20.94,19,19.44,,,
20,19.87,20,19.94,20,20.94,20,19.62,,,
21,19.94,21,20.06,21,21,21,19.69,,,
22,20.06,22,20.06,22,20.87,22,19.75,,,
23,20.31,23,20.37,23,21.06,23,20.06,,,
24,20.44,24,20.56,24,21.19,24,20.19,,,
25,20.56,25,20.69,25,21.19,25,20.31,,,
26,20.56,26,20.69,26,20.62,26,23.31,,,
27,20.44,27,20.56,27,20.37,27,23.5,,,
28,20.37,28,20.44,28,20,28,18.62,,,
29,20.31,29,20.37,29,19.81,29,20,,,
30,20.25,30,20.31,30,8.44,30,21.06,,,
31,20.12,31,20.25,31,6.87,31,21.62,,,
32,20.06,32,20.19,32,4.69,32,21.87,,,
33,19.94,33,20.06,33,2.62,33,21.75,,,
34,19.87,34,19.94,34,1.31,34,21.56,,,
35,19.75,35,19.81,35,0.31,35,21.31,,,
36,19.62,36,19.69,36,-0.69,36,20.94,,,
37,19.56,37,19.62,37,-1.56,37,20.62,,,
38,19.5,38,19.62,38,-1.87,38,20.19,,,
39,19.56,39,19.62,39,-2.19,39,19.87,,,
40,19.69,40,19.75,40,-0.37,40,19.44,,,
41,19.69,41,19.75,41,3.31,41,18.62,,,
42,19.44,42,19.12,42,11.69,42,18.37,,,
43,19.75,43,19.5,43,16.62,43,18.12,,,
44,19.81,44,19.56,44,18.37,44,18.06,,,
45,19.87,45,19.69,45,19.81,45,18.12,,,
46,19.94,46,19.87,46,19.19,46,18.37,,,
47,20.5,47,20.75,47,18.87,47,18.62,,,
48,20.62,48,20.75,48,18.25,48,18.81,,,
49,20.56,49,20.69,49,18.12,49,16.31,,,
50,20.56,50,20.69,50,17.25,50,14.75,,,
51,20.75,51,20.81,51,16,51,13.88,,,
52,20.75,52,20.81,52,15.13,52,12.69,,,
53,20.69,53,20.69,53,11.25,53,9.94,,,
54,20.56,54,20.62,54,7.62,54,6.25,,,
55,20.5,55,20.56,55,3.81,55,3.81,,,
56,20.37,56,20.44,56,3.37,56,4.56,,,
57,20.25,57,20.37,57,0.69,57,1.44,,,
58,20.19,58,20.25,58,-0.81,58,0.06,,,
59,20.06,59,20.12,59,-1.56,59,-1.5,,,
60,20,60,20,60,-2.12,60,-2.5,,,
61,19.94,61,19.94,61,-3.25,61,-2.81,,,
62,19.81,62,19.94,62,-3.37,62,-3.19,,,
63,19.94,63,20.12,63,-4.31,63,-2.87,,,
64,20.12,64,20.37,64,-4.06,64,-1,,,
65,20.31,65,20.5,65,0.44,65,2.94,,,
